ID,Problem Description,Reference Log,Problem Analysis,Solution
081,Kubernetes Pod CrashLoopBackOff,"CrashLoopBackOff: Back-off restarting failed container",Container application crashing on startup due to code errors or misconfiguration,"Check container logs with kubectl logs, verify environment variables and ConfigMaps, review resource limits and probes"
082,Kubernetes Pod ImagePullBackOff,"ImagePullBackOff: Failed to pull image myapp:1.0.0",Docker image not accessible or authentication required,"Verify image name and tag, check imagePullSecrets for private registry, ensure network connectivity to registry"
083,Kubernetes Pod Pending State,"Pod stuck in Pending state for 5 minutes",Insufficient cluster resources or node affinity constraints,"Check node capacity with kubectl describe nodes, review resource requests and limits, verify node selectors and taints"
084,Kubernetes Service Not Accessible,"Service my-service has no endpoints",No pods matching service selector or pods not ready,"Verify pod labels match service selector, check readiness probe configuration, ensure pods are in Running state"
085,Helm Chart Deployment Failure,"helm install failed: chart not found: myapp-1.0.0",Helm chart package missing or repository not updated,"Run helm repo update, verify chart version exists, check Chart.yaml dependencies, use helm dependency update"
086,Helm Release Upgrade Rollback,"UPGRADE FAILED: no ReplicaSet found for deployment",Kubernetes resources in inconsistent state during upgrade,"Execute helm rollback to previous version, check deployment history, verify RBAC permissions, use helm history for debugging"
087,Prometheus Alertmanager Notification Failure,"Alert notification failed: connection refused to webhook",Alertmanager unable to reach notification webhook or email server,"Verify webhook URL accessibility, check SMTP configuration, test notification channel manually, review alertmanager.yml"
088,Grafana Dashboard Loading Error,"Dashboard import failed: invalid JSON format",Grafana dashboard JSON file corrupted or incompatible version,"Validate JSON syntax with online tool, check Grafana version compatibility, re-export dashboard from source, fix schema version"
089,Elasticsearch Cluster Red Status,"Elasticsearch cluster health: RED",Primary shards unallocated causing data loss or corruption,"Check elasticsearch logs for errors, verify disk space availability, review shard allocation settings, restart failed nodes"
090,Kafka Consumer Lag Warning,"Consumer group lag exceeded threshold: 10000 messages",Message consumer processing slower than producer rate,"Scale consumer instances, optimize message processing logic, check consumer group membership, review Kafka broker health"
091,PostgreSQL Connection Pool Exhausted,"Too many clients connected to PostgreSQL database",Database connection pool fully utilized causing new connections to fail,"Increase max_connections parameter, implement connection pooling with PgBouncer, identify and close idle connections, add monitoring alerts"
092,MongoDB Replication Lag Critical,"MongoDB replica set secondary lagging by 300 seconds",Secondary node unable to keep up with primary writes,"Check network latency between nodes, verify secondary node resources, review oplog size, optimize write operations"
093,RabbitMQ Queue Memory Alarm,"RabbitMQ queue memory usage above high watermark",Queue accumulating messages faster than consumption,"Implement message TTL, add dead letter exchange, scale consumers, review prefetch count settings, enable lazy queues"
094,Nginx Ingress 502 Bad Gateway,"Ingress controller returning 502 Bad Gateway",Backend service unavailable or health check failing,"Verify backend pods are running, check service port configuration, review ingress annotations, test backend directly"
095,Istio Sidecar Injection Failure,"Sidecar injector mutating webhook timeout",Istio sidecar proxy not injected into pod automatically,"Check istiod deployment status, verify namespace istio-injection label, reviewMutatingWebhookConfiguration, increase timeout if needed"
096,CertManager Certificate Renewal Failed,"Certificate renewal failed: ACME challenge unsuccessful",Let's Encrypt HTTP-01 or DNS-01 challenge validation failed,"Verify domain DNS records, check ingress gateway routing, ensure cert-manager can reach .well-known path, review issuer configuration"
097,Vault Secret Rotation Timeout,"Vault secret rotation timed out after 60 seconds","Vault unable to rotate database credentials within timeout window","Increase lease renewal timeout, check vault performance, verify database user permissions, review rotation interval settings"
098,Consul Service Discovery Failure,"Consul agent unable to register service with catalog",Consul agent misconfigured or catalog service unavailable,"Verify consul agent configuration, check ACL token permissions, ensure gossip protocol ports open, restart consul agent"
099,Terraform State Lock Timeout,"Terraform apply failed: state lock timeout exceeded",Another terraform process holding state lock preventing changes,"Run terraform force-unlock with lock ID, check state backend (S3/Azure Blob), ensure no concurrent runs, implement CI/CD serialization"
100,Ansible Playbook Execution Failed,"Ansible playbook failed at task: Install required packages",Package installation failed on remote hosts due to repository issues,"Verify yum/apt repository configuration, check network connectivity to package mirrors, review ansible inventory, increase timeout for slow networks"
